"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"APC"	23984	13144	79514	57032	55214	71432
"APCS"	0	0	0	0	0	0
"AIRE"	180	38	20	176	42	22
"APEH"	8880	2308	9600	8184	13036	7154
"APEX1"	8068	2268	39618	8104	36702	33894
"BIRC2"	2994	1428	15370	6206	16004	12344
"BIRC3"	274	180	70	548	98	80
"XIAP"	5402	2384	20662	9582	17636	17876
"BIRC5"	4	6	954	12	1476	1126
"APLP1"	88188	9230	69952	90350	70714	47020
"APLP2"	60670	16544	38798	74594	51664	39804
"APOA1"	4	26	22	20	50	10
"APOA2"	0	0	0	6	24	4
"APOA4"	0	0	0	0	0	0
"APOB"	36	30	12	114	42	38
"APOBEC1"	0	0	0	0	0	0
"APOC1"	430	678	162	236	202	66
"APOC1P1"	2	10	6	16	14	0
"AQP8"	24	10	76	34	60	44
"APOC2"	118	232	56	104	26	8
"APOC3"	0	0	0	0	4	0
"APOC4"	2	0	10	12	14	0
"APOD"	10322	9212	320	13616	1066	602
"APOE"	58238	66308	1524	13826	3768	1246
"APOH"	0	0	0	0	8	0
"APP"	230598	25134	191494	303894	133326	123436
"APRT"	1166	618	1920	1368	3474	2138
"KLK3"	0	0	0	0	2	0
"FAS"	324	478	516	492	264	762
"FASLG"	0	18	0	0	0	0
"SHROOM2"	5650	730	6062	7514	4916	5162
"AQP1"	2860	854	122	792	3344	190
"AQP2"	0	0	0	0	36	18
"AQP3"	38	44	34	50	148	32
"AQP4"	27460	39224	324	28192	72	126
"AQP5"	110	282	74	70	308	194
"AQP6"	186	290	78	114	160	134
"AQP7"	114	54	4	74	8	0
"AQP9"	188	28	8	888	4	8
"AR"	96	46	84	164	74	76
"ABCC6"	126	44	74	62	166	48
"ARAF"	1928	1058	3852	1398	5732	3732
"ARCN1"	7736	2880	21150	14494	25230	20872
"TRIM23"	4632	1074	12270	12862	8928	9310
"AREG"	0	4	6	0	2	0
"ARF1"	42220	9748	43810	38458	37866	29328
"ARF3"	76668	15362	54474	95554	30392	35772
"ARF4"	5702	3026	18940	9450	18350	18326
"ARL4D"	2938	350	6332	3044	7130	5476
"ARF5"	13430	4498	15994	13104	16264	10758
"ARF6"	3566	1818	18390	5530	15642	13266
"ARG1"	66	14	194	38	40	74
"ARG2"	1412	634	5696	2972	8040	5280
"RHOA"	9390	4194	14538	8192	16090	10188
"RHOB"	29810	22256	31980	25910	26366	21498
"RHOC"	4756	6462	2712	2660	3354	1870
"RND3"	654	550	16792	1518	41848	33646
"RHOG"	1394	756	950	960	1290	796
"ARHGAP1"	10095	3164	11822	9826	12370	11182
"ARHGAP4"	886	470	1330	812	4756	1714
"ARHGAP5"	8628	12208	26796	19448	26066	26964
"ARHGAP6"	404	344	186	432	332	176
"ARHGDIA"	36024	7000	31194	24620	33572	25438
