"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"NA..31"	180	40	178	424	134	94
"SLC22A16"	4	0	16	4	16	0
"SLC45A3"	1116	126	1662	1082	1316	966
"RHPN2"	924	708	728	398	666	448
"ZIC5"	304	572	1168	284	4216	2810
"CCNB3"	50	16	50	72	350	264
"ZCRB1"	2880	2442	5652	3908	7454	5720
"CABS1"	0	0	0	0	0	0
"STON2"	528	340	984	364	676	376
"DOCK7"	2500	2762	23740	3840	25048	24988
"HELZ2"	674	508	2384	460	2882	1622
"KNDC1"	28440	5584	4648	25160	6230	4394
"DCLK3"	416	34	8532	798	1244	1372
"LRRCC1"	734	860	3680	1346	7810	4896
"CNTNAP4"	5958	1022	2320	9640	2758	3996
"KIAA1755"	2728	1310	910	1632	4878	1910
"ITPRIP"	322	480	5016	260	5478	4088
"UNK"	3104	956	10612	2534	11708	9828
"CFAP74"	706	38	12	938	94	52
"TSPYL5"	5204	776	16258	8396	14636	12992
"DISP2"	5256	686	14172	5406	10110	9942
"TNKS1BP1"	7488	2932	19086	6800	21930	16014
"CIPC"	7090	4116	17610	12330	14836	15406
"DIXDC1"	4728	1310	20800	10080	17412	15870
"CEP295"	1498	788	8162	2890	6564	6330
"ZNF518B"	1514	734	14844	3084	13154	13942
"TANC1"	1788	902	2206	2276	2830	1850
"FHDC1"	306	58	4026	430	6262	8138
"ZC3H12C"	980	1086	7044	2074	8874	8076
"SSH2"	2734	582	14916	5206	14708	16328
"SELENOI"	6948	1136	17882	17688	13234	16194
"LBX2"	0	4	22	0	4	28
"GFM1"	3770	2436	8408	8842	8640	7496
"SCIN"	22	20	164	54	564	204
"CCDC65"	912	120	1424	1412	1972	1466
"DNAJC5B"	6	4	10	10	24	14
"TSLP"	20	28	0	46	8	12
"PSKH2"	0	0	0	0	0	0
"RPPH1"	160	16	64	76	24	28
"SCRT2"	1138	58	26534	710	11884	21140
"MBD3L1"	0	0	0	0	0	0
"GALP"	0	0	24	4	22	10
"GTPBP10"	784	348	3392	1982	3120	3286
"HSFY1"	0	0	0	0	0	0
"PNPT1"	2178	1024	6156	3670	6485	6198
"GGACT"	268	170	114	210	318	114
"ANKRD13A"	2288	956	5322	3486	7032	5536
"RRP36"	1586	704	3818	2270	6316	3758
"TRIM4"	1354	784	4612	1368	4482	3958
"RSPH1"	790	342	96	856	468	98
"UMODL1"	104	8	62	92	4	0
"SERPINB12"	0	0	0	0	0	0
"SERPINB11"	0	4	8	0	0	4
"WNT3A"	0	0	0	4	0	0
"HPS4"	4264	1400	11528	4702	13410	10804
"LMLN"	2238	374	2478	3650	2344	2490
"SIGLEC10"	146	24	304	138	360	366
"GAL3ST3"	1482	330	2824	1422	2406	2142
"NAV3"	5760	1430	40382	12754	18446	22292
"NAV1"	10280	4390	62880	15292	43920	55575
"NAV2"	4886	2388	42854	6178	20256	29896
"PPP1R3F"	11022	1588	3550	9072	4592	2962
"KCNK17"	32	20	0	44	4	0
"CHRFAM7A"	72	0	111	134	252	373
"ULK4P3"	4	6	1	6	18	0
"ULK4P1"	0	0	0	2	2	4
"ARHGAP11B"	16	2	376	38	770	572
"ABCC10"	2936	660	10696	3298	9390	7006
"FGD3"	236	146	2944	224	5364	3230
"FCHSD1"	944	246	1758	738	2046	1396
"ATG16L2"	1394	678	1306	1620	2274	1292
"MVB12B"	7838	2912	25512	6854	26826	19610
"KLHL6"	28	18	126	28	220	162
"SIGLEC12"	4	0	0	0	0	4
"SEC16B"	2080	260	376	2158	566	636
"PLCZ1"	0	0	2	2	6	10
"TRIM15"	0	0	0	0	0	0
"AQP10"	4	0	0	0	2	4
"SLC25A21"	8	6	26	44	48	16
"MAATS1"	576	296	1348	1104	2460	2294
"TPD52L3"	0	0	4	0	0	0
"OR6W1P"	4	0	0	0	6	4
"LHX4"	182	62	1458	174	1656	1202
"FATE1"	54	0	4	8	4	8
"SLAMF9"	4	2	0	6	2	4
"ZNF628"	1078	224	1496	820	1314	1308
"KBTBD6"	3259	1134	22602	7342	18865	17218
"WDR34"	2082	812	6534	1512	11026	5506
"TMEM116"	434	264	1114	546	1054	1094
"UBE3B"	6896	1680	10794	7790	12204	9080
"NA..32"	18	2	0	74	0	0
"BMERB1"	37672	3254	31098	31090	29862	21974
"PAPLN"	2596	2882	592	760	930	690
"RHOT2"	11702	2744	16812	8620	22978	16530
"GLB1L2"	2016	366	10286	2400	25140	16858
"KLC4"	5368	1532	11320	4058	13664	10328
"SAPCD2"	1844	1248	2430	1498	5490	2970
"RSPRY1"	1130	582	9116	2042	8976	7586
"DPH6"	236	240	412	298	896	626
"MIDN"	5960	2766	33478	3720	41024	38332
"KIR3DX1"	0	12	8	0	0	0
"SYT8"	4	0	4	10	6	2
"FLJ20021"	960	210	176	922	406	270
"UBE3D"	246	120	572	516	678	466
"FAM181A"	526	570	216	198	922	390
"CCDC120"	1188	460	5668	830	4994	5240
"LACRT"	0	4	0	0	0	0
"ZNF30"	502	196	1724	830	3202	2524
"PHLDB2"	848	1338	962	1540	1694	1410
"VWA5B2"	11006	2860	248	7598	296	226
"TMEM250"	6976	1890	5428	5982	5598	3654
"TSR2"	14230	4394	5556	9978	6376	4474
"KCNH7"	210	2	3114	1002	1642	1848
"BTBD6"	8312	2914	11306	9186	13228	8248
"TSPAN18"	696	506	28992	540	25742	20406
"EFCAB11"	132	106	156	286	352	206
"HS6ST2"	1910	256	1594	4498	7106	3068
"FRMD7"	0	0	4	0	0	8
"EMILIN3"	914	144	966	986	1950	1114
"SYS1"	1116	808	3070	1430	2702	1916
"WFDC8"	0	0	10	8	2	0
"SNX21"	3696	1500	4662	3496	3604	3510
"ZSWIM1"	968	376	3104	1050	2774	2902
"UCN2"	12	6	6	6	12	12
"KIAA2013"	3134	810	3924	2960	4568	3446
"ZNF551"	404	258	8844	782	7394	8232
"LOC90246"	46	24	26	66	62	40
"UNC5A"	21820	1972	21204	20624	9526	6572
"OTULIN"	778	396	4600	1490	5674	4452
"OLMALINC"	998	1024	764	802	1350	1516
"CEACAM21"	10	0	18	40	54	26
"EFCAB12"	128	38	94	190	318	96
"KLHL13"	472	318	6416	928	1972	1608
"TP53I13"	1014	1044	1166	668	2300	1492
"TGIF2LX"	0	0	0	0	0	0
"ZNF616"	306	134	4734	590	4504	4992
"ZNF766"	572	362	4984	848	5374	5836
"CCDC97"	3126	956	8908	2314	8726	7286
"THAP3"	772	122	1588	532	1504	1308
"EXOC3L2"	22	6	6	4	54	12
"ZNF468"	168	244	3047	813	3619	3343
"ZNF160"	1728	968	10378	3080	14031	12378
"FER1L5"	184	76	192	166	346	292
"CTU1"	676	92	1192	452	1058	868
"C5orf30"	3342	1580	9066	7436	10020	8248
"FAM110B"	3146	810	20870	4554	26850	19598
"SAMD1"	3362	1202	8474	2568	8916	5896
"DCAF15"	2154	596	7258	1592	10346	7760
"TICRR"	88	50	2832	108	6802	4542
"MED30"	288	210	1806	472	1798	1890
"TMEM41A"	1042	514	2088	1542	2884	1844
"IFT20"	776	436	3462	1230	3526	3110
"MCFD2"	8740	3034	11644	13340	13058	10674
"CCDC32"	682	436	2628	1002	2840	1726
"KNSTRN"	542	222	3706	1120	6776	4268
"ATP6V1E2"	260	62	180	260	342	152
"BMF"	128	40	1220	150	2074	1276
"ZNF622"	3212	572	5042	3350	6024	3892
"ERI1"	432	396	3700	780	4130	3308
"NA..33"	0	0	0	0	0	0
"GADD45GIP1"	3254	1528	2760	2900	3588	1550
"ZNF835"	774	148	1910	670	2084	1672
"TMEM263"	1664	1582	5946	4554	5980	5708
"LRRC46"	58	8	348	56	384	332
"SCRN2"	2344	1206	3166	1628	8056	4704
"YIF1B"	4784	1164	5298	3612	3490	3106
"MLIP"	902	92	732	1928	650	1812
"SHF"	2984	608	11580	1916	16328	11190
"DUOXA1"	6	4	42	6	30	22
"STPG1"	3148	460	988	3312	702	512
"MCU"	1160	490	6842	2024	4432	3990
"CCDC74A"	596	288	1096	648	1796	1232
"ZNF799"	84	94	712	314	1112	974
"TIMM29"	1292	382	2342	1146	3422	2106
"AOC4P"	2	10	4	12	4	0
"ZNF625"	146	10	1611	198	1974	1848
"ZNF700"	226	278	3902	986	5730	4258
"ZNF439"	382	172	4202	998	8556	7100
"LYRM7"	3803	1326	9184	8460	8536	7679
"STARD13"	4070	778	4910	6080	2412	1916
"LINC00473"	98	38	2	236	0	10
"N4BP2L1"	2040	980	1260	4612	1074	1184
"ZFAND2A"	2388	684	2040	2946	1704	1208
"COX19"	1764	540	4488	2104	5068	3614
"ZNF486"	66	30	2110	222	1806	1608
"TGIF2LY"	0	0	0	0	0	0
"TBL1Y"	8	0	0	0	2	2
"CARMIL3"	2402	482	29950	1688	24316	14242
"PPP1R3E"	4124	1268	4186	5140	3536	4606
"LRSAM1"	6672	1240	9276	5148	9434	6224
"CCDC126"	478	246	1668	1238	1246	1144
"SEC11C"	4606	2214	7940	5532	4702	4960
"FAM104B"	826	568	3430	1696	2602	2578
"PAGE5"	0	0	0	0	0	0
"TENM3.AS1"	122	14	316	114	52	10
"PYGO2"	5572	1570	6698	4656	8652	6734
"NA..34"	762	148	3262	1772	4762	3004
"CEP95"	1184	1014	12580	2450	18310	17120
"ANGEL2"	2488	1356	9470	5110	6844	7756
"PIP4P1"	5174	1428	6794	5182	6714	5970
"PRMT9"	532	352	2120	1730	2074	1634
"ZNF479"	0	0	0	0	0	0
"NA..35"	200	42	1016	274	970	1022
"CCDC189"	422	40	306	408	578	360
"TCEAL8"	2982	1662	5002	4774	4426	4488
"ZNF598"	4120	924	8418	3022	12134	8564
"SPOCD1"	42	4	2	54	18	18
"JPT2"	1232	504	13974	1506	20650	14602
"SPSB3"	5688	1896	17468	4166	19626	15398
"IL33"	550	2798	1216	572	2974	1788
"DMAC1"	2240	1262	5818	4018	2916	3342
"ZNF697"	1098	150	9350	1982	9556	10064
"TRIM41"	9416	4638	8952	6536	11658	9358
"ESAM"	2500	2484	1842	2038	2868	1658
"ADCK2"	4602	834	4950	4290	5202	4016
"DHX57"	2120	718	13102	3850	18372	14044
"ZNF251"	1794	692	7340	2090	9828	8028
"KIFC2"	33938	5522	25942	29350	18240	15130
"CREB3L1"	1648	378	404	1160	294	192
"FMNL3"	3094	1034	7518	3416	7260	6268
"CERS5"	2286	1608	16180	3358	14590	13960
"DPP9"	3874	948	4928	2640	6822	5226
"CCDC149"	5888	936	8482	6108	4722	4388
"AP5B1"	2182	272	4272	2210	2275	2180
"CCDC34"	594	242	2706	1658	5094	2938
"ANKRD30A"	0	0	0	0	0	0
"TRIM47"	2094	1582	714	1178	1442	972
"ZNF682"	396	240	5416	1176	8406	5710
"L3MBTL4"	548	188	978	946	732	700
"SLC25A46"	3264	734	8758	9448	7672	9148
"TMEM67"	534	258	2920	1364	3446	3640
"RAPGEF4.AS1"	234	30	34	542	12	28
"TIGD7"	940	558	4292	1514	5924	4218
"IGFN1"	364	328	8	158	12	16
"SCARF2"	992	288	926	720	1390	746
"NUP210L"	38	24	208	36	108	76
"GGTLC2"	0	0	6	2	0	0
"SLC39A13"	4736	1776	6106	3686	8974	5816
"BOD1"	2556	1188	10238	3090	11516	8788
"MSANTD3"	1718	442	5304	2000	6262	5726
"LMF2"	5360	1830	9046	3802	13918	7470
"C12orf29"	1466	1246	3180	4652	2780	2280
"R3HDM4"	4826	2510	11012	4726	8666	6638
"TMEM259"	21508	4944	29906	12504	34506	27440
"GUSBP11"	2092	690	6562	2398	7138	6776
"DERL3"	248	160	888	214	1784	1056
"DDX60L"	130	254	592	514	1058	752
"IGLL3P"	0	0	16	0	4	2
"LRP5L"	202	56	794	192	984	738
"CDKN2AIPNL"	2060	748	3416	3250	2610	2208
"ANKRD40"	12736	11096	8207	13214	10080	7904
"UAP1L1"	2394	920	84	1976	120	120
"SNORD107"	0	0	0	0	0	0
"ZNF502"	260	256	2810	614	3648	2378
"SESTD1"	4590	2184	32366	11414	32338	37808
"BTF3L4"	2768	1134	15782	6306	14844	13126
"CCDC74B"	430	122	488	434	1532	624
"ATP23"	336	150	394	558	402	350
"RCCD1"	2082	380	5040	2102	3384	2990
"FAAP24"	50	10	348	52	502	214
"RNF185"	2882	1310	7510	4160	8736	6126
"LOC91450"	6	0	20	0	26	6
"ACBD5"	5884	4482	9986	9104	11411	9788
"PKDCC"	3792	874	2752	3062	2776	1980
"ISX"	0	0	0	0	0	0
"COL23A1"	1502	574	172	1222	382	246
"PCED1B"	180	80	104	190	110	112
"ANKRD44"	392	158	6322	530	4796	5104
"RSAD2"	430	472	284	772	298	292
"UBXN11"	3540	1220	2386	3178	4644	2700
"C12orf65"	1724	524	4225	1836	5114	3706
"RPS19BP1"	4574	3318	3086	3696	4396	1692
"PLXNA4"	10434	714	115742	16476	6336	6206
"ZNF830"	1528	338	3812	1638	4838	3406
"SLFN11"	432	368	216	646	454	172
"RASL10B"	7838	1566	4248	6436	3212	2812
"CHURC1"	3670	2538	6636	13788	7552	5648
"DEPDC7"	64	50	408	196	590	478
"NEXN"	194	236	216	154	302	186
"TDRD12"	2	38	12	14	90	16
"ATPAF2"	694	370	2188	750	3022	2042
"BOC"	1040	542	8250	844	16106	12660
"ZNF765"	124	96	2418	312	2486	2366
"NLRP12"	18	0	16	12	32	6
"MYADM"	8698	1504	5160	8424	4694	4744
"ZNF845"	290	136	4183	604	3912	3922
"SYT12"	12588	1880	92	11536	288	94
"CENPL"	106	84	1460	254	1840	1284
"SMDT1"	2818	2726	7684	3338	6754	3862
"LONRF1"	1812	1168	8310	4498	11894	8734
"RRP7BP"	1374	308	4700	1092	4396	3506
"ACY3"	70	34	170	120	32	108
"IDI2"	132	82	510	296	808	586
"YTHDC1"	2	0	2	0	4	0
"ELMSAN1"	4832	984	10146	4870	6734	9492
"MFSD4B"	390	136	1034	560	1712	1254
"LIN52"	1188	354	2970	1742	3790	3324
"ZNF804A"	1178	92	7900	2764	2762	4718
"NEK9"	5944	3512	15344	5596	18556	17172
"CABLES1"	9316	10612	1342	5422	802	1220
"NXPE3"	4258	1410	11982	8608	7758	7098
"CHMP7"	4550	1414	13488	6036	17640	13764
"ALKBH8"	858	346	4426	1860	4312	3562
"MYLK3"	134	30	54	298	74	56
"EXOC3L4"	6	4	34	22	8	0
"WDR20"	2002	502	8412	2158	6058	6272
"CHRDL1"	3870	4298	9494	3396	19984	13430
"CALML4"	724	792	3414	1920	3534	3558
"MARVELD3"	26	24	72	32	146	82
"RFT1"	1468	524	3116	2234	3010	3010
"TTC5"	904	316	4342	1314	3326	3044
"FDXACB1"	228	110	1374	356	1150	1168
"C11orf52"	42	4	0	30	8	4
"TIMD4"	8	0	0	0	90	18
"NDUFAF2"	1262	502	3008	1672	1954	1786
"ARRDC4"	1292	1258	6250	2452	10564	4700
"LINC00923"	28	0	6	42	2	2
"COG7"	2276	808	4560	2200	4798	3828
"CXorf40A"	1511	184	2242	1513	1690	1753
"ZNF300"	142	104	24198	360	26792	28220
"MYOZ3"	758	52	1036	664	1154	1606
"TPGS1"	1776	344	1438	1482	1390	806
"CCNQ"	2414	764	2114	1984	1928	1424
"SLC25A51"	796	336	4110	1140	3012	3164
"SNX29"	2700	1268	9004	3018	10268	9778
"CTBP1.DT"	1482	516	4616	1418	4140	3808
"GGTLC1"	0	0	0	2	2	2
"ZC3HAV1L"	140	18	2528	232	1524	1626
"TTC30A"	508	418	1618	1068	1618	1402
"INTS4"	966	382	5824	1106	6014	5584
"OXNAD1"	918	418	1054	1530	1528	1080
"DSEL"	1534	966	13070	3118	16388	25671
"RIPPLY1"	0	2	6	2	14	8
"MTDH"	7239	2626	26962	15078	27811	25080
"MTSS2"	73726	47148	53546	32820	52124	52666
"TMEM88"	324	440	554	134	724	392
"MTG1"	1478	638	5964	1604	9894	4710
"UBTD2"	936	736	18348	2358	24614	20312
"DAPL1"	36	10	0	22	20	4
"CDHR1"	3686	456	2578	3984	6466	6450
"DUSP27"	326	18	38	344	130	88
"RCSD1"	1024	524	624	1250	1334	774
"LINC01278"	3520	848	7214	3482	3542	6890
"LMBRD2"	1514	234	5918	5704	2790	3790
"MRPS36"	1370	996	2050	2598	1522	1984
"ATP6AP1L"	422	296	670	418	650	842
"ZNF461"	700	212	4006	1586	3634	3292
"ZNF585B"	1756	636	6578	3154	5294	5746
"CAPN13"	100	20	12	132	26	34
"GLYATL1"	18	24	52	34	64	56
"TMEM132C"	3084	1164	806	2782	2266	1692
"SCGB3A1"	62	22	8	30	26	6
"TMEM129"	5572	4004	4068	3516	6732	3520
"MEX3A"	168	136	76660	72	68768	78666
"STRADA"	5330	1250	10668	5008	13344	10490
"PRR29"	420	112	284	334	448	144
"METTL18"	274	144	742	466	1134	796
"GORAB"	594	244	1772	962	2712	1940
"NAF1"	776	114	1918	1540	1966	1724
"C1orf105"	0	0	4	0	4	2
"CRB3"	28	14	6	12	20	10
"SPSB4"	206	130	1538	134	2634	1908
"PXYLP1"	2182	766	9040	2966	10732	10236
"MRRF"	786	426	2460	1316	2576	2548
"RBM18"	2276	960	8758	5264	8970	7210
"CHMP4C"	24	72	0	50	24	0
"BBIP1"	718	812	3100	1522	2818	2886
"LDHAL6B"	0	0	8	2	8	2
"SPECC1"	7976	1974	5550	8662	6112	3416
"ATXN3L"	0	0	0	0	0	0
"BICDL1"	6010	818	11850	6014	12650	7486
"FANK1"	216	196	46	268	194	40
"G6PC3"	4108	2246	3306	2726	2510	2492
"ASB16"	126	68	710	108	1052	838
"ZNF764"	820	298	5424	960	4292	4090
"MOB1B"	1954	1714	13282	6472	12500	12504
"TIMM50"	5312	1122	7630	4996	8730	6394
"TIFA"	192	32	2048	338	3402	2328
"MAFG.DT"	476	80	716	356	776	450
"MGME1"	414	424	2870	454	4814	3164
"DTD1"	3396	1018	10468	3694	17516	9416
"FAM114A1"	526	742	1520	628	3512	2202
"TMEM169"	1226	150	6026	2010	8408	6592
"TMEM183A"	5076	880	8832	8564	7196	5710
"ARRDC1"	2418	874	5068	2106	4922	4460
"DPH7"	1946	718	5022	1662	7560	4570
"OTOP2"	4	0	0	0	0	0
"DNER"	11936	4214	31142	19648	26270	17904
"SLC38A5"	2522	1138	5646	1614	5142	2944
"BPIFB1"	6	0	4	4	8	6
"DRC1"	246	28	166	314	598	174
"HELB"	48	4	1478	66	866	772
"SHKBP1"	1608	544	2188	1420	3902	2342
"CENPBD1"	1316	394	3348	1376	3854	2716
"H2AW"	556	114	3122	500	1404	2132
"ZNF276"	2674	622	4970	2178	6650	4394
"REEP6"	1886	832	800	1340	1220	754
"IMP4"	5702	1704	5698	4498	4672	3750
"HNRNPLL"	2030	896	10302	4284	14946	9534
"UBE2Q2"	1808	1966	8070	4946	11364	8908
"CCDC102A"	172	150	336	86	1010	588
"MARS2"	634	158	1792	814	1442	1180
"ADAMTSL1"	462	24	1278	466	6870	8614
"PEX11G"	196	112	232	202	264	114
"NA..36"	2642	752	2824	4916	2332	1800
"MARCHF9"	2276	594	5574	2074	7452	5406
"ZBTB47"	13354	10044	7960	11174	6506	5368
"B3GNT7"	916	754	298	730	280	162
"NT5C1B"	4	2	4	2	18	10
"PKHD1L1"	4	0	42	4	34	4
"COQ10A"	1240	942	1852	1464	2340	2298
"TEX30"	326	168	896	682	1948	1184
"NEURL3"	36	22	38	26	36	48
"DMKN"	602	252	4	478	120	6
"NAPRT"	1056	744	2424	2266	3596	3704
"KCNG4"	14	2	0	6	0	0
"TMEM44"	1206	396	5554	990	9116	8960
"ORAI3"	476	724	516	506	578	380
"ZNF561"	734	540	7070	1570	6272	7268
"OLFM2"	16950	15470	39886	8406	25692	27792
"HTR7P1"	578	144	290	1208	104	44
"PRDM6"	44	48	30	26	54	130
"PIGM"	784	342	3922	1338	3040	3434
"IGSF8"	28352	4628	19964	28150	22226	20434
"C1orf158"	0	4	0	0	4	0
"PGAP3"	2764	1304	4142	2772	4474	2802
"CCDC114"	96	76	336	100	1232	458
"LEMD1"	10	2	576	12	1252	880
"HAUS8"	192	86	948	120	2456	1136
"MVB12A"	1226	616	2840	714	3888	2370
"SP140L"	152	102	148	152	166	174
"OPALIN"	9344	3820	6	12180	4	6
"MMGT1"	1740	1152	7360	4904	6028	5324
"MYL10"	0	0	0	0	0	0
"SYCE1"	1414	344	46	1006	288	48
"LOC93429"	350	48	322	378	296	186
"MGAM2"	0	6	4	0	2	10
"ARMC6"	3348	814	9360	3182	11536	7464
"LOC93463"	0	0	0	0	0	0
"ZNF670"	118	88	2636	458	2112	2558
"MAPK1IP1L"	4325	2218	15200	7258	15972	16456
"TPTE2"	84	30	120	74	120	96
"SDR42E1"	0	8	12	4	44	4
"ZFAND4"	302	298	1482	474	2452	1634
"EGFEM1P"	58	16	362	56	1148	1120
"TRMT10A"	212	120	722	752	760	620
"CACNA2D4"	58	28	52	52	68	38
"TBC1D31"	516	356	2460	1054	4758	3808
"FBXO44"	24298	5152	15176	20780	14108	10752
"MRFAP1"	45767	16204	41807	50314	47738	31483
"LOC93622"	2986	848	3766	2966	3932	3280
"TADA2B"	4012	1012	8404	4212	8496	6722
"TBCK"	1658	696	7848	3458	7148	8596
"TJAP1"	4810	1134	4320	3028	7108	5218
"MYOCD"	82	218	214	232	106	136
"ACP4"	22	0	78	30	84	92
"ST7.AS1"	102	58	68	82	296	200
"ST7.AS2"	2	0	2	4	12	6
"ST7.OT3"	2	2	22	4	52	38
"CGB5"	0	0	0	0	2	0
"CAPZA3"	4	0	0	0	4	0
"ARHGAP18"	290	300	1732	530	2490	1532
"CADPS2"	6946	866	936	17178	1846	472
"HPYR1"	8	2	8	66	8	4
"GCNA"	250	122	558	386	496	412
"ACTR8"	1402	642	8270	2958	8524	7162
"ATP5IF1"	9362	3140	10258	10856	9908	7926
"CLEC6A"	0	0	2	0	0	2
"CPA5"	14	6	2	14	8	0
"FOXP2"	980	172	5420	2416	2856	3414
"PIGS"	4808	1350	5418	4906	7304	5628
"SERHL"	12	0	62	10	18	20
"TTYH2"	9238	2688	5636	7970	5398	5376
"NA..37"	108	22	60	86	64	70
"MUC16"	0	0	0	0	0	0
"POM121L2"	4	0	2	20	4	0
"CGB7"	0	0	0	6	4	0
"LRRC4B"	27534	5086	34350	20548	35218	29926
"HTRA3"	98	94	230	134	512	226
"CAMK2N2"	5670	1008	404	3218	294	258
"FTMT"	0	0	0	0	0	0
"ZNF101"	228	98	1314	400	1844	1372
"SYAP1"	3374	1572	5822	5480	8406	5732
"LENG9"	316	54	406	160	664	408
"SFXN1"	5074	1528	14942	9890	16312	13452
"HSPB9"	6	6	24	12	32	22
"SFXN5"	27060	35942	7488	13842	12798	7220
"ORMDL1"	1700	1510	6012	4400	6654	6582
"ORMDL3"	5416	3698	10860	4456	11640	8504
"PAXBP1"	1424	924	14504	3280	19946	18900
"TMEM203"	3538	1028	5140	4280	4136	2936
"CGB8"	0	0	0	0	2	0
"SYTL3"	48	62	530	86	774	716
"SYTL4"	608	1034	478	272	1256	884
"SYTL5"	574	406	128	1342	206	208
"ARHGAP12"	2526	1990	5358	5090	8978	8034
"RP1L1"	18	4	40	24	76	80
"CDRT7"	0	0	0	0	0	0
"CDRT15P1"	4	0	115	20	125	65
"ABCC12"	942	196	58	1784	40	22
"SNORD46"	22	10	104	18	132	126
"SNORD38A"	54	22	120	38	286	170
"SNORD38B"	24	34	120	48	374	154
"OPN4"	102	0	0	202	0	0
"FOXQ1"	908	506	724	730	1380	1178
"GNG8"	48	22	368	20	1550	910
"DNAJA1P5"	0	0	2	6	2	0
"H2AZ2"	11398	9596	41730	22100	50479	37898
"EPSTI1"	130	218	68	170	172	74
"TP53INP1"	570	710	8566	712	9102	8936
"PPP1R14A"	2426	1034	82	1802	176	74
"CEP41"	1506	300	9604	3440	7324	8686
"FNIP1"	3146	1138	8878	6346	6430	7668
"TBC1D27P"	0	0	0	0	0	0
"BMS1P20"	1936	382	5064	3066	5742	4018
"LIMS3"	0	0	2	0	0	0
"TGS1"	898	390	6264	1444	8222	6034
"MYL12B"	6770	5012	18880	13284	17978	15604
"EGLN2"	11182	2524	15288	8812	17964	11864
"EGLN3"	3284	2788	718	2552	1612	3578
"BIRC8"	0	0	0	0	0	0
"CAVIN3"	346	582	238	280	644	192
"PRRT2"	44202	4768	47910	33162	22934	26986
"ERI2"	450	326	3128	952	2718	2490
"SAT2"	5730	2930	10228	4876	11518	7954
"DTD2"	1250	704	4978	1864	5691	4262
"GTF3C6"	1722	2362	5490	2134	9222	6030
"SNX18"	2010	1564	5294	2278	4702	3978
"CYTOR"	50	116	34	170	146	50
"MRAP2"	2560	276	952	3958	114	184
"RWDD2A"	1006	294	2194	2036	2112	2044
"CMTM7"	32	88	70	40	198	104
"FAM71E1"	682	202	286	606	148	74
"TUBA3E"	20	0	64	8	30	42
"RDH13"	1376	302	2286	1280	1874	1954
"IL17F"	0	0	12	0	0	0
"IFT43"	986	736	3246	938	3302	1932
"STX1B"	58654	3986	24564	56730	20264	18154
"GLMP"	998	428	1132	1102	1258	902
"KRT71"	2	4	0	8	0	0
"FDX2"	3872	1092	3056	2950	2904	1534
"HOGA1"	224	286	96	154	74	38
"WDR89"	780	284	3400	1174	3924	2814
"L3HYPDH"	404	240	1088	520	1796	1146
"TP53RK"	716	344	6742	1422	6684	5102
"SGF29"	710	228	2932	622	3346	2616
"PHF21B"	720	918	10988	416	21646	16552
"VPS26B"	15290	2956	30292	17506	29656	26164
"GLB1L3"	828	146	86	1126	24	38
"NACC1"	15520	3982	10836	14008	9468	9436
"CFAP36"	4900	2352	6594	10076	10090	7436
"MED8"	2162	810	3414	3224	4620	3172
"KTI12"	640	100	1376	814	1352	938
"RPUSD1"	3024	928	3124	2906	3860	2302
"PLCD3"	6770	4350	802	4732	1166	642
"PTH2"	0	2	14	0	4	0
"MTFR2"	8	10	228	16	470	270
"CDCA5"	586	70	3130	640	7510	3712
"AHNAK2"	8614	592	9972	11036	5952	6774
"RPLP0P2"	130	34	10	280	10	22
"SAAL1"	418	178	3404	820	4428	3574
"IZUMO4"	854	1026	1690	628	1474	1134
"SCAMP4"	7378	2400	7170	4926	6648	5986
"ADAT3"	218	40	400	92	490	312
"CHST14"	358	326	1198	180	3044	1950
"CASC4"	10738	8938	25928	18058	20334	19430
"KIF12"	294	122	172	410	474	134
"MISP3"	1882	644	160	954	166	68
"SLC46A1"	822	594	1720	694	1178	1326
"C12orf57"	3434	4360	17500	4376	9642	6144
"LARP4"	2476	1082	10918	5076	10300	9234
"GLCCI1"	3060	736	9752	5762	15576	13546
"TMEM106A"	30	36	158	82	282	210
"SLC52A3"	330	166	134	168	68	50
"SFT2D1"	1288	1596	2494	1954	1866	2214
"TEX261"	3704	2348	11952	4568	9490	9866
"SMIM12"	4674	1190	3078	4916	3406	2484
"AZIN2"	4414	686	4124	3958	1560	1284
"TMEM54"	3048	1968	532	1862	182	102
"TUBA3D"	72	6	316	116	342	278
"HELQ"	540	202	2148	796	2674	1964
"CMTM1"	364	48	1236	368	1022	1104
"CYP2U1"	1588	1084	2782	2160	2752	2714
"ADPRHL1"	1166	178	288	1174	588	322
"MFSD3"	3486	838	2328	3216	2188	1718
"SDSL"	680	474	104	602	148	128
"TUBA3FP"	70	44	474	82	1087	806
"KLHDC7B"	14	2	2	32	0	0
"ODF3"	6	4	6	2	10	2
"ZBED6CL"	222	50	760	262	1452	1160
"PIK3IP1"	3834	2256	3070	3626	3216	3024
"HENMT1"	1314	158	2288	2216	2986	1986
"FAM83F"	12	4	44	32	4	0
"SLC35A4"	4262	2472	6186	3788	8690	6530
"ZNF257"	92	80	418	164	690	438
"DTX2"	380	188	816	290	1118	790
"ZIM3"	0	0	0	0	0	0
"TOE1"	558	278	1596	584	2216	1126
"LINC00310"	24	36	14	22	38	26
"LINC00313"	22	8	42	2	26	14
