Geneid	HISAT2 on data 6: aligned reads (BAM)
79005	1500
29765	46
6944	3872
8394	4870
5710	12046
100507670	80
57592	3078
5298	9024
5993	4414
100505481	42
8991	1468
100505497	10
5692	5308
23126	13788
100505516	128
57530	482
7286	1284
693139	0
81609	14686
11189	17622
284485	172
65005	2740
51686	270
11022	3654
339398	12
6097	6
100191040	94
100132111	376
284486	898
100505537	290
117145	1634
6281	616
6282	344
100131107	0
126637	0
7062	498
126638	0
388697	52
2312	572
339400	532
388698	24
49860	0
254910	8
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	0
163778	0
6698	0
6707	0
6699	0
6703	4
6700	4
6701	0
6704	2
6705	0
6702	0
6706	0
149018	0
4014	60
114771	0
57115	0
6280	134
6283	4
6279	42
338324	0
645922	0
6278	0
100505623	6
6277	3762
6276	36
6275	170
6274	0
6273	18
140576	1384
57402	22
6284	2292
6271	4330
26097	3874
23557	2176
3608	7390
4881	168
65123	11110
11000	976
343052	12
57459	9178
9909	15862
200186	2472
27173	1842
148327	102
10899	6064
5872	730
6232	5566
91181	36
7170	31670
100126346	0
388701	0
25912	17358
9898	14546
10456	5140
89872	0
57198	6030
3570	506
126669	906
126668	136
55585	11102
1141	14412
103	41322
3782	426
10654	4414
57326	5930
90780	4656
6464	3010
1163	254
100423020	2
80308	1962
55891	0
51043	1432
127579	28
149095	10
100505666	40
8751	4046
1945	28
1944	3408
1942	626
55974	482
54344	562
200185	1484
80128	4292
4582	28
693235	2
7059	1988
100129268	120
4580	770
2630	1960
2629	4710
10712	4240
10067	3826
1196	2618
57657	1468
5313	64
2224	8078
284618	180
23623	13568
55870	31366
693140	0
645682	2
645676	188
55154	1116
55249	7124
7818	4972
100505728	32
100129405	334
54856	5290
23208	131522
6016	1444
22889	4618
677823	8
677771	12
339403	8
9181	20976
6746	4332
56893	10884
28956	1436
57111	14
92312	72
4000	2586
64218	3512
9673	11422
11243	1112
632	124
79957	9960
23381	12216
84283	356
112770	1102
391104	0
7203	13906
100505747	142
128229	34
57127	0
10485	10090
100505765	1078
407046	4
4209	31540
128239	226
164118	30
128240	4832
54865	5602
60484	3700
63827	13098
10763	2946
1382	590
81875	1858
51093	1296
79590	3056
3068	9440
5546	6710
9047	28
4914	66
3645	34
375033	714
149499	24
9826	19798
768220	4
440695	14
2117	732
360155	0
83416	2
83417	32
115352	10
79368	0
115350	6
922	0
55243	374
100505785	0
646268	0
912	16
100505799	0
909	0
911	4
910	0
913	0
128360	0
